Number,involvementType,personID
MP20010007,VICTIM,4146
MP20003807,SUSPECT,4147
MP20001605,SUSPECT,4147
MP20009904,SUSPECT,4147
MP20010754,SUSPECT,4147
MP20001798,VICTIM,4148
MP20011216,SUSPECT,4149
MP20001643,VICTIM,4150
MP20002652,VICTIM,4150
MP20006872,VICTIM,4151
MP20002541,SUSPECT,4152
MP20002601,VICTIM,4153
MP20009691,VICTIM,4154
MP20010148,SUSPECT,4155
MP20010144,VICTIM,4155
MP20008752,VICTIM,4156
MP20004872,VICTIM,4157
MP20009564,VICTIM,4157
MP20000278,SUSPECT,4158
MP20002614,VICTIM,4158
MP20009497,SUSPECT,4159
MP20006702,SUSPECT,4160
MP20006705,SUSPECT,4160
MP20006707,SUSPECT,4160
MP20800739,VICTIM,4161
MP20005358,SUSPECT,4162
MP20007606,VICTIM,4163
MP20001719,VICTIM,4164
MP20009324,VICTIM,4165
MP20000624,VICTIM,4166
MP20010986,VICTIM,4167
MP20006973,VICTIM,4168
MP20008094,VICTIM,4169
MP20007032,VICTIM,4170
MP20010719,VICTIM,4171
MP20003044,VICTIM,4172
MP20000269,SUSPECT,4173
MP20000269,VICTIM,4173
MP20001045,SUSPECT,4174
MP20008511,SUSPECT,4174
MP20008822,VICTIM,4175
MP20800776,VICTIM,4175
MP20009354,VICTIM,4176
MP20000269,SUSPECT,4177
MP20000269,VICTIM,4177
MP20003097,SUSPECT,4178
MP20005133,VICTIM,4178
MP20007213,VICTIM,4178
MP20003765,VICTIM,4179
MP20004504,SUSPECT,4180
MP20003368,VICTIM,4181
MP20009081,VICTIM,4182
MP20001346,VICTIM,4183
MP20006282,SUSPECT,4184
MP20001183,SUSPECT,4185
MP20007126,SUSPECT,4185
MP20011016,VICTIM,4186
MP20006968,VICTIM,4187
MP20002056,VICTIM,4188
MP20002060,VICTIM,4188
MP20009548,VICTIM,4189
MP20005756,VICTIM,4190
MP20010135,VICTIM,4191
MP20007095,SUSPECT,4192
MP20007741,VICTIM,4193
MP20008954,SUSPECT,4194
MP20007487,VICTIM,4196
MP20002108,SUSPECT,4197
MP20006294,SUSPECT,4198
MP20004925,SUSPECT,4199
MP20002872,VICTIM,4199
MP20008012,SUSPECT,4200
MP20009098,SUSPECT,4200
MP20011010,SUSPECT,4200
MP20011206,SUSPECT,4200
MP20011437,SUSPECT,4200
MP20800267,VICTIM,4201
MP20007215,VICTIM,4202
MP20001300,SUSPECT,4203
MP20001737,SUSPECT,4203
MP20010932,SUSPECT,4204
MP20010932,VICTIM,4204
MP20002645,VICTIM,4205
MP20800791,VICTIM,4206
MP20002645,VICTIM,4207
MP20007617,VICTIM,4207
MP20006628,SUSPECT,4208
MP20006781,SUSPECT,4208
MP20008149,SUSPECT,4208
MP20004237,VICTIM,4209
MP20008281,VICTIM,4210
MP20006972,VICTIM,4211
MP20800451,VICTIM,4213
MP20002420,VICTIM,4214
MP20007637,VICTIM,4215
MP20800141,VICTIM,4216
MP20004955,VICTIM,4217
MP20006544,VICTIM,4218
MP20004955,SUSPECT,4219
MP20001772,VICTIM,4220
MP20008312,SUSPECT,4221
MP20004787,VICTIM,4222
MP20010450,VICTIM,4223
MP20000729,VICTIM,4224
MP20001682,VICTIM,4225
MP20010341,SUSPECT,4226
MP20003289,SUSPECT,4227
MP20008022,SUSPECT,4228
MP20008022,VICTIM,4228
MP20003294,SUSPECT,4229
MP20008815,VICTIM,4229
MP20006544,SUSPECT,4230
MP20001628,SUSPECT,4231
MP20010011,SUSPECT,4232
MP20009149,SUSPECT,4233
MP20006289,SUSPECT,4234
MP20002548,VICTIM,4234
MP20001607,VICTIM,4235
MP20011524,VICTIM,4235
MP20007977,VICTIM,4236
MP20011026,SUSPECT,4237
MP20000095,VICTIM,4238
MP20011875,VICTIM,4239
MP20009786,SUSPECT,4240
MP20004702,VICTIM,4240
MP20006170,SUSPECT,4241
MP20012107,SUSPECT,4241
MP20007963,VICTIM,4242
MP20011688,VICTIM,4243
MP20005110,SUSPECT,4244
MP20006628,SUSPECT,4245
MP20006781,SUSPECT,4245
MP20011875,VICTIM,4246
MP20011617,SUSPECT,4247
MP20800925,VICTIM,4248
MP20009586,SUSPECT,4249
MP20000316,VICTIM,4250
MP20007135,SUSPECT,4251
MP20002262,SUSPECT,4252
MP20002262,VICTIM,4252
MP20800982,VICTIM,4253
MP20002898,VICTIM,4254
MP20000893,VICTIM,4255
MP20000782,SUSPECT,4256
MP20004582,SUSPECT,4257
MP20010598,SUSPECT,4257
MP20000374,VICTIM,4258
MP20010246,SUSPECT,4259
MP20003402,VICTIM,4260
MP20011062,SUSPECT,4261
MP20006092,SUSPECT,4262
MP20011928,SUSPECT,4262
MP20011101,VICTIM,4263
MP20003358,VICTIM,4264
MP20009982,SUSPECT,4265
MP20009982,VICTIM,4265
MP20008471,SUSPECT,4266
MP20010991,VICTIM,4266
MP20011079,VICTIM,4267
MP20010911,SUSPECT,4268
MP20003212,VICTIM,4269
MP20008752,SUSPECT,4270
MP20011155,SUSPECT,4271
MP20011001,VICTIM,4271
MP20011155,VICTIM,4271
MP20008963,VICTIM,4272
MP20007970,SUSPECT,4273
MP20007995,VICTIM,4274
MP20011010,VICTIM,4274
MP20011081,VICTIM,4274
MP20004702,SUSPECT,4275
MP20010392,SUSPECT,4275
MP20009786,VICTIM,4275
MP20004925,VICTIM,4276
MP20002872,SUSPECT,4277
MP20005554,SUSPECT,4278
MP20006362,VICTIM,4278
MP20009484,VICTIM,4279
MP20006043,VICTIM,4279
MP20004582,VICTIM,4280
MP20010598,VICTIM,4280
MP20000145,SUSPECT,4281
MP20005412,SUSPECT,4281
MP20001054,VICTIM,4282
MP20005178,SUSPECT,4283
MP20003841,SUSPECT,4284
MP20008841,SUSPECT,4284
MP20006699,VICTIM,4285
MP20008643,VICTIM,4285
MP20009615,SUSPECT,4286
MP20011015,SUSPECT,4286
MP20007388,VICTIM,4287
MP20001777,SUSPECT,4288
MP20002193,SUSPECT,4288
MP20002230,SUSPECT,4288
MP20007311,SUSPECT,4289
MP20002331,SUSPECT,4290
MP20000145,VICTIM,4291
MP20005412,VICTIM,4291
MP20011283,VICTIM,4292
MP20009588,SUSPECT,4293
MP20004466,VICTIM,4294
MP20011788,SUSPECT,4295
MP20004628,VICTIM,4296
MP20004504,VICTIM,4297
MP20002523,SUSPECT,4298
MP20007924,SUSPECT,4298
MP20010905,SUSPECT,4298
MP20004087,VICTIM,4298
MP20009894,SUSPECT,4299
MP20007479,VICTIM,4299
MP20011886,VICTIM,4299
MP20009894,VICTIM,4299
MP20002484,VICTIM,4300
MP20000958,VICTIM,4301
MP20002858,VICTIM,4302
MP20011664,SUSPECT,4303
