CID,Number,dateReported,startDate,offenseCode,offenseDescription,streetAddress,cityDescription,stateDescription,zipCode,longitude,latitude,Booked,DAComplaint,Cited,burglaryFactor,felonyMisdemeanor,dateIncident,weekNumber,involvementType,personID,age,sex
MP20000095 - 211 PC,MP20000095,"Jan 2, 2020, 2:58:42 AM","Jan 2, 2020, 2:58:42 AM",211 PC,211 PC ROBBERY 03 Robbery 853,903 5TH ST,MO,NULL,NULL,-121.0046637,37.63601522,0,0,0,NULL,FELONY,1/2/2020,7,VICTIM,5180,44,MALE
MP20011095 - 460 (A) PC,MP20011095,"Apr 21, 2020, 7:18:45 AM","Apr 21, 2020, 7:18:45 AM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,2019 CELESTE DR,MO,CALIFORNIA,95355,-120.9620316,37.67248013,1,0,0,RESIDENCE - NIGHT (6PM - 6AM),FELONY,4/21/2020,23,SUSPECT,5181,44,MALE
MP20008619 - 10851 VC,MP20008619,"Mar 24, 2020, 12:00:00 AM","Feb 4, 2020, 7:00:00 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,1609 BERGEN DR,MO,NULL,95350,-120.9809789,37.66816086,0,0,0,NULL,FELONY,3/24/2020,19,VICTIM,5182,44,MALE
MP20009409 - 243 (E)(1) PC,MP20009409,"Apr 1, 2020, 10:11:44 PM","Apr 1, 2020, 11:30:00 AM",243 (E)(1) PC,243 (E)(1) PC BATTERY ON NONCOHABITATING FORMER SPOUSE/ETC 09 Other Assaults 1193,Confidential Location,MODESTO,CALIFORNIA,95354,Confidential Location,Confidential Location,0,1,0,NULL,MISDEMEANOR,4/1/2020,20,SUSPECT,5183,44,MALE
MP20800156 - 460(B) PC,MP20800156,"Jan 19, 2020, 4:02:00 PM","Jan 18, 2020, 4:15:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,DALE RD & SNYDER AVE,MODESTO,CALIFORNIA,95356,-121.0499973,37.69664179,0,0,0,NULL,FELONY,1/19/2020,9,VICTIM,5184,44,FEMALE
MP20002247 - 243 (E)(1) PC,MP20002247,"Jan 23, 2020, 2:53:36 PM","Jan 23, 2020, 2:53:36 PM",243 (E)(1) PC,243 (E)(1) PC BATTERY ON NONCOHABITATING FORMER SPOUSE/ETC 09 Other Assaults 1193,Confidential Location,MODESTO,CALIFORNIA,95355,Confidential Location,Confidential Location,1,0,0,NULL,MISDEMEANOR,1/23/2020,10,VICTIM,5185,44,FEMALE
MP20800698 - 488 PC,MP20800698,"Mar 16, 2020, 4:25:00 PM","Mar 13, 2020, 12:01:00 AM",488 PC,488 PC PETTY THEFT 06 Theft 2305,1824 SCENIC DR,MODESTO,CALIFORNIA,95355,-120.9657017,37.65153064,0,0,0,NULL,MISDEMEANOR,3/16/2020,18,VICTIM,5186,44,FEMALE
MP20008752 - 245 (A)(2) PC,MP20008752,"Mar 25, 2020, 7:44:36 PM","Mar 25, 2020, 7:44:36 PM",245 (A)(2) PC,245 (A)(2) PC ASSAULT WITH FIREARM ON PERSON: FELONY 04 Aggravated Assault 1233,2434 GLENDALE AVE,MO,NULL,95354,-120.9505278,37.63902471,1,0,0,NULL,FELONY,3/25/2020,19,SUSPECT,5187,44,MALE
MP20008752 - 187 (A) PC,MP20008752,"Mar 25, 2020, 7:44:36 PM","Mar 25, 2020, 7:44:36 PM",187 (A) PC,187 (A) PC MURDER 01a. Criminal Homicide: Murder and Negligent Manslaughter 767,2434 GLENDALE AVE,MO,NULL,95354,-120.9505278,37.63902471,1,0,0,NULL,FELONY,3/25/2020,19,SUSPECT,5187,44,MALE
MP20011086 - 10851 VC,MP20011086,"Apr 20, 2020, 11:50:00 PM","Mar 29, 2020, 10:39:00 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,1400 FLOYD AVE,MODESTO,CALIFORNIA,95355,-120.9738269,37.67779215,0,0,0,NULL,FELONY,4/20/2020,23,VICTIM,5188,44,FEMALE
MP20010452 - 243 (E)(1) PC,MP20010452,"Apr 14, 2020, 2:57:57 PM","Apr 14, 2020, 2:57:57 PM",243 (E)(1) PC,243 (E)(1) PC BATTERY ON NONCOHABITATING FORMER SPOUSE/ETC 09 Other Assaults 1193,Confidential Location,MODESTO,CALIFORNIA,95356,Confidential Location,Confidential Location,0,0,1,NULL,MISDEMEANOR,4/14/2020,22,VICTIM,5189,44,FEMALE
MP20008087 - 245 (A)(1) PC,MP20008087,"Mar 17, 2020, 11:15:26 PM","Mar 17, 2020, 11:15:26 PM",245 (A)(1) PC,245 (A)(1) PC FORCE OR ADW NOT FIREARM:GBI LIKELY: FELONY 04 Aggravated Assault 1231,401 TOKAY AVE,MODESTO,CALIFORNIA,95350,-120.9878465,37.67324208,0,0,0,NULL,FELONY,3/17/2020,18,VICTIM,5190,44,MALE
MP20002268 - 273.5 (A) PC,MP20002268,"Jan 24, 2020, 1:31:47 AM","Jan 24, 2020, 1:31:47 AM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,Confidential Location,MODESTO,CALIFORNIA,95356,Confidential Location,Confidential Location,1,0,0,NULL,FELONY,1/24/2020,10,SUSPECT,5191,44,MALE
MP20010261 - 460 (A) PC,MP20010261,"Apr 12, 2020, 12:12:50 AM","Apr 12, 2020, 12:12:50 AM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,804 SUTTER AVE,MODESTO,CALIFORNIA,95351,-121.0120623,37.6186191,0,0,0,NULL,FELONY,4/12/2020,21,VICTIM,5192,44,FEMALE
MP20010261 - 243 (E)(1) PC,MP20010261,"Apr 12, 2020, 12:12:50 AM","Apr 12, 2020, 12:12:50 AM",243 (E)(1) PC,243 (E)(1) PC BATTERY ON NONCOHABITATING FORMER SPOUSE/ETC 09 Other Assaults 1193,Confidential Location,MODESTO,CALIFORNIA,95351,Confidential Location,Confidential Location,0,0,0,NULL,MISDEMEANOR,4/12/2020,21,VICTIM,5192,44,FEMALE
MP20010261 - 212.5 (A) PC,MP20010261,"Apr 12, 2020, 12:12:50 AM","Apr 12, 2020, 12:12:50 AM",212.5 (A) PC,212.5 (A) PC ROBBERY:FIRST DEGREE:CAB/ETC/INHABITED DWELLING 03 Robbery 860,804 SUTTER AVE,MODESTO,CALIFORNIA,95351,-121.0120623,37.6186191,0,0,0,NULL,FELONY,4/12/2020,21,VICTIM,5192,44,FEMALE
MP20011752 - 460(B) PC,MP20011752,"Apr 27, 2020, 12:21:00 PM","Apr 27, 2020, 5:50:00 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,1560 CUMMINS DR,MODESTO,CALIFORNIA,95358,-121.0347533,37.65757601,0,0,0,NULL,FELONY,4/27/2020,24,VICTIM,5193,44,MALE
MP20009178 - 664 /187 (A) PC,MP20009178,"Mar 30, 2020, 9:28:37 AM","Mar 30, 2020, 9:25:00 AM",664 /187 (A) PC,664 /187 (A) PC ATTEMPTED MURDER 04 Aggravated Assault 2897,157 E COOLIDGE AVE,MODESTO,CALIFORNIA,95350,-120.9914407,37.66611416,0,0,0,NULL,FELONY,3/30/2020,20,VICTIM,5194,44,FEMALE
MP20004245 - 460 (A) PC,MP20004245,"Feb 11, 2020, 11:15:57 PM","Feb 11, 2020, 11:15:57 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,1542 ROUSE AVE,MODESTO,CALIFORNIA,95351,-121.013564,37.62032717,1,0,0,RESIDENCE - NIGHT (6PM - 6AM),FELONY,2/11/2020,13,VICTIM,5195,44,MALE
MP20004493 - 10851 VC,MP20004493,"Feb 14, 2020, 6:02:00 AM","Feb 13, 2020, 4:00:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,3104 PEMBROKE DR,MO,NULL,95350,-121.026208,37.68357519,0,0,0,NULL,FELONY,2/14/2020,13,VICTIM,5196,44,MALE
MP20007534 - 273.5 (A) PC,MP20007534,"Mar 12, 2020, 10:56:49 AM","Mar 12, 2020, 10:30:00 AM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,Confidential Location,MO,NULL,95355,Confidential Location,Confidential Location,1,0,0,NULL,FELONY,3/12/2020,17,VICTIM,5197,44,FEMALE
MP20007534 - 245 (A)(4) PC,MP20007534,"Mar 12, 2020, 10:56:49 AM","Mar 12, 2020, 10:30:00 AM",245 (A)(4) PC,245 (A)(4) PC ASSAULT WITH DEADLY WEAPON:  POSSIBLE GBI: FELONY 04 Aggravated Assault 1236,3009 DEGAS LN,MO,NULL,95355,-120.938236,37.67016466,1,0,0,NULL,FELONY,3/12/2020,17,VICTIM,5197,44,FEMALE
MP20001954 - 10851 VC,MP20001954,"Jan 21, 2020, 11:42:00 AM","Jan 20, 2020, 9:30:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,216 SENTINEL DR,MO,NULL,95357,-120.9221117,37.6400064,0,0,0,NULL,FELONY,1/21/2020,10,VICTIM,5198,43,MALE
MP20007036 - 664 /460 (B) PC,MP20007036,"Mar 7, 2020, 4:10:46 PM","Mar 7, 2020, 12:00:00 PM",664 /460 (B) PC,664 /460 (B) PC ATTEMPTED BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2912,2001 CROWS LANDING RD,MODESTO,CALIFORNIA,95358,-120.993987,37.60059456,1,0,0,NON-RESIDENCE - DAY (6AM - 6PM),FELONY,3/7/2020,16,VICTIM,5199,44,FEMALE
MP20002650 - 273.5 (A) PC,MP20002650,"Jan 27, 2020, 5:14:54 PM","Jan 27, 2020, 5:14:54 PM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,Confidential Location,MO,NULL,95350,Confidential Location,Confidential Location,0,0,0,NULL,FELONY,1/27/2020,11,SUSPECT,5200,43,MALE
MP20002650 - 212.5 (A) PC,MP20002650,"Jan 27, 2020, 5:14:54 PM","Jan 27, 2020, 5:14:54 PM",212.5 (A) PC,212.5 (A) PC ROBBERY:FIRST DEGREE:CAB/ETC/INHABITED DWELLING 03 Robbery 860,320 E GRANGER AVE,MO,NULL,95350,-120.9885903,37.66712265,0,0,0,NULL,FELONY,1/27/2020,11,SUSPECT,5200,43,MALE
MP20006309 - 10851 VC,MP20006309,"Mar 1, 2020, 6:16:00 AM","Mar 1, 2020, 3:00:00 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,732 WALNUT WAY,MODESTO,CALIFORNIA,95351,-121.0193662,37.6194317,0,0,0,NULL,FELONY,3/1/2020,15,VICTIM,5201,43,FEMALE
MP20010587 - 10851 VC,MP20010587,"Apr 16, 2020, 11:50:00 PM","Apr 16, 2020, 11:50:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,308 CORALWOOD RD,MO,NULL,95356,-120.9904592,37.69522914,0,0,0,NULL,FELONY,4/16/2020,22,VICTIM,5202,44,MALE
MP20008463 - 487 (A) PC,MP20008463,"Mar 22, 2020, 12:49:34 PM","Mar 21, 2020, 8:00:00 PM",487 (A) PC,487 (A) PC GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400: FELONY 06 Theft 2284,805 HACKBERRY AVE,MO,NULL,95354,-121.0021344,37.65487305,0,0,0,NULL,FELONY,3/22/2020,18,VICTIM,5203,43,FEMALE
MP20003719 - 664 /187 (A) PC,MP20003719,"Feb 6, 2020, 2:10:50 PM","Feb 6, 2020, 2:10:50 PM",664 /187 (A) PC,664 /187 (A) PC ATTEMPTED MURDER 04 Aggravated Assault 2897,2045 MOUNT VERNON DR,MODESTO,CALIFORNIA,95350,-121.0291192,37.67412459,1,0,0,NULL,FELONY,2/6/2020,12,SUSPECT,5204,43,MALE
MP20801039 - 460(B) PC,MP20801039,"Apr 24, 2020, 7:07:00 PM","Apr 24, 2020, 5:34:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,3801 PELANDALE AVE,MODESTO,CALIFORNIA,95356,-121.0646843,37.7001619,0,0,0,NULL,FELONY,4/24/2020,23,VICTIM,5205,43,MALE
MP20800319 - 460(B) PC,MP20800319,"Feb 4, 2020, 11:29:00 AM","Jan 31, 2020, 1:00:00 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,1134 CEDAR CREEK DR,MODESTO,CALIFORNIA,95355,-120.9232467,37.65992614,0,0,0,NULL,FELONY,2/4/2020,12,VICTIM,5206,43,MALE
MP20001809 - 243 (E)(1) PC,MP20001809,"Jan 19, 2020, 11:23:57 PM","Jan 19, 2020, 11:23:57 PM",243 (E)(1) PC,243 (E)(1) PC BATTERY ON NONCOHABITATING FORMER SPOUSE/ETC 09 Other Assaults 1193,Confidential Location,MO,NULL,95350,Confidential Location,Confidential Location,1,0,0,NULL,MISDEMEANOR,1/19/2020,9,VICTIM,5207,43,FEMALE
MP20009501 - 488 PC,MP20009501,"Apr 3, 2020, 8:06:00 AM","Apr 3, 2020, 6:00:00 AM",488 PC,488 PC PETTY THEFT 06 Theft 2305,807 NEEDHAM ST,MODESTO,CALIFORNIA,95354,-121.0028917,37.64589472,0,0,0,NULL,MISDEMEANOR,4/3/2020,20,VICTIM,5208,43,FEMALE
MP20011510 - 273.5 (A) PC,MP20011510,"Apr 24, 2020, 10:01:55 PM","Apr 24, 2020, 10:01:55 PM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,Confidential Location,MODESTO,CALIFORNIA,95350,Confidential Location,Confidential Location,1,0,0,NULL,FELONY,4/24/2020,23,VICTIM,5209,43,MALE
MP20001737 - 460 (B) PC,MP20001737,"Jan 19, 2020, 5:49:25 AM","Jan 19, 2020, 5:49:25 AM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,3900 PELANDALE AVE,MODESTO,CALIFORNIA,95356,-121.0674409,37.69951718,1,0,0,NON-RESIDENCE - NIGHT (6PM - 6AM),FELONY,1/19/2020,9,SUSPECT,5210,43,MALE
MP20010209 - 484 (A) PC,MP20010209,"Apr 11, 2020, 12:31:30 PM","Apr 11, 2020, 12:31:30 PM",484 (A) PC,484 (A) PC PETTY THEFT: MISD 06 Theft 2252,1601 WOLVERINE WAY,MODESTO,CALIFORNIA,95355,-120.9693444,37.65680887,0,0,0,NULL,MISDEMEANOR,4/11/2020,21,VICTIM,5211,43,MALE
MP20010209 - 460 (A) PC,MP20010209,"Apr 11, 2020, 12:31:30 PM","Apr 11, 2020, 12:31:30 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,1601 WOLVERINE WAY,MODESTO,CALIFORNIA,95355,-120.9693444,37.65680887,0,0,0,RESIDENCE - DAY (6AM - 6PM),FELONY,4/11/2020,21,VICTIM,5211,43,MALE
MP20800536 - 460(B) PC,MP20800536,"Feb 20, 2020, 4:47:00 PM","Feb 20, 2020, 5:30:00 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,1613 DELPHINE AVE,MODESTO,CALIFORNIA,95350,-121.0203155,37.68414522,0,0,0,NULL,FELONY,2/20/2020,14,VICTIM,5212,43,MALE
MP20006291 - 460 (A) PC,MP20006291,"Mar 1, 2020, 2:11:00 AM","Feb 29, 2020, 10:30:00 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,3713 SHADY VALLEY CT,MODESTO,CALIFORNIA,95355,-120.9273327,37.68855174,0,0,0,RESIDENCE - NIGHT (6PM - 6AM),FELONY,3/1/2020,15,VICTIM,5213,43,MALE
MP20005650 - 460(B) PC,MP20005650,"Feb 24, 2020, 4:41:15 PM","Feb 24, 2020, 4:00:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,1800 PRESCOTT RD,MODESTO,CALIFORNIA,95350,-121.0301546,37.67209369,0,0,0,NON-RESIDENCE - DAY (6AM - 6PM),FELONY,2/24/2020,15,VICTIM,5214,43,FEMALE
MP20800744 - 460(B) PC,MP20800744,"Mar 19, 2020, 12:22:00 PM","Mar 13, 2020, 2:00:00 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,4000 DIVAN CT,MODESTO,CALIFORNIA,95356,-121.0250579,37.69763159,0,0,0,NULL,FELONY,3/19/2020,18,VICTIM,5215,43,MALE
MP20005395 - 460 (A) PC,MP20005395,"Feb 22, 2020, 1:13:24 PM","Feb 22, 2020, 1:13:24 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,2705 STAFFORD WAY,MODESTO,CALIFORNIA,95350,-121.0021092,37.6797384,0,0,0,RESIDENCE - DAY (6AM - 6PM),FELONY,2/22/2020,14,VICTIM,5216,43,MALE
MP20800736 - 488 PC,MP20800736,"Mar 17, 2020, 5:33:00 PM","Mar 17, 2020, 8:10:00 AM",488 PC,488 PC PETTY THEFT 06 Theft 2305,801 OAKDALE RD,MODESTO,CALIFORNIA,95355,-120.9574567,37.65313886,0,0,0,NULL,MISDEMEANOR,3/17/2020,18,VICTIM,5217,43,FEMALE
MP20800828 - 488 PC,MP20800828,"Mar 29, 2020, 10:00:00 AM","Mar 1, 2020, 9:45:00 AM",488 PC,488 PC PETTY THEFT 06 Theft 2305,421 LINCOLN AVE,MODESTO,CALIFORNIA,95354,-120.9391163,37.64409959,0,0,0,NULL,MISDEMEANOR,3/29/2020,19,VICTIM,5218,43,FEMALE
MP20009435 - 460(B) PC,MP20009435,"Apr 2, 2020, 12:17:24 PM","Apr 1, 2020, 8:00:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,518 HUNTER AVE,MODESTO,CALIFORNIA,95350,-120.9775283,37.65142595,0,0,0,NULL,FELONY,4/2/2020,20,VICTIM,5219,43,MALE
MP20003876 - 487 (A) PC,MP20003876,"Feb 7, 2020, 11:28:47 PM","Feb 6, 2020, 6:30:00 PM",487 (A) PC,487 (A) PC GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400: FELONY 06 Theft 2284,1509 TEAKWOOD DR,MODESTO,CALIFORNIA,95350,-121.0197003,37.66744548,0,0,0,NULL,FELONY,2/7/2020,12,VICTIM,5220,43,FEMALE
MP20800361 - 460(B) PC,MP20800361,"Feb 6, 2020, 9:10:00 PM","Feb 6, 2020, 11:20:00 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,18 H ST,MODESTO,CALIFORNIA,95351,-121.0072398,37.63150913,0,0,0,NULL,FELONY,2/6/2020,12,VICTIM,5221,43,MALE
MP20008292 - 460(B) PC,MP20008292,"Mar 20, 2020, 8:00:22 AM","Mar 20, 2020, 8:00:22 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,2116 MOUNT VERNON DR,MODESTO,CALIFORNIA,95350,-121.0326026,37.67245867,1,0,0,NULL,FELONY,3/20/2020,18,VICTIM,5222,43,MALE
MP20800204 - 488 PC,MP20800204,"Jan 16, 2020, 8:48:00 AM","Jan 16, 2020, 2:30:00 AM",488 PC,488 PC PETTY THEFT 06 Theft 2305,1901 INNSBROOK DR,MODESTO,CALIFORNIA,95350,-121.0262067,37.68783181,0,0,0,NULL,MISDEMEANOR,1/16/2020,9,VICTIM,5223,43,MALE
MP20010201 - 460 (B) PC,MP20010201,"Apr 11, 2020, 11:05:41 AM","Apr 11, 2020, 11:05:41 AM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,1620 CROWS LANDING RD,MODESTO,CALIFORNIA,95358,-120.9928898,37.60612159,0,0,0,NON-RESIDENCE - UNKNOWN,FELONY,4/11/2020,21,VICTIM,5224,43,MALE
MP20002476 - 243 (E)(1) PC,MP20002476,"Jan 26, 2020, 1:36:02 AM","Jan 26, 2020, 1:36:02 AM",243 (E)(1) PC,243 (E)(1) PC BATTERY ON NONCOHABITATING FORMER SPOUSE/ETC 09 Other Assaults 1193,Confidential Location,MODESTO,CALIFORNIA,95355,Confidential Location,Confidential Location,1,0,0,NULL,MISDEMEANOR,1/26/2020,10,SUSPECT,5225,43,FEMALE
MP20007095 - 245 (A)(1) PC,MP20007095,"Mar 8, 2020, 12:28:07 PM","Mar 8, 2020, 12:28:07 PM",245 (A)(1) PC,245 (A)(1) PC FORCE OR ADW NOT FIREARM:GBI LIKELY: FELONY 04 Aggravated Assault 1231,4342 DALE RD,MO,CALIFORNIA,95356,-121.0498041,37.70331423,1,0,0,NULL,FELONY,3/8/2020,16,VICTIM,5226,43,MALE
MP20007144 - 460(B) PC,MP20007144,"Mar 9, 2020, 7:48:00 AM","Mar 8, 2020, 7:00:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,825 15TH ST,MODESTO,CALIFORNIA,95354,-120.993586,37.64236726,0,0,0,NULL,FELONY,3/9/2020,17,VICTIM,5227,43,FEMALE
