year,state_abbr,type,population,incidents,unemp
1983,FL,homicide,10680000,1199,0.085
1983,GA,homicide,5732000,483,0.077
1983,HI,homicide,1023000,57,0.062
1983,IA,homicide,2905000,68,0.081
1983,ID,homicide,989000,35,0.09
1983,IL,homicide,11486000,1112,0.118
1983,IN,homicide,5479000,286,0.112
1983,KS,homicide,2425000,137,0.059
1983,KY,homicide,3714000,364,0.114
1983,LA,homicide,4438000,629,0.115
1983,MA,homicide,5767000,203,0.068
1983,MD,homicide,4304000,367,0.07
1983,ME,homicide,1146000,24,0.083
1983,MI,homicide,9069000,910,0.144
1983,MN,homicide,4144000,69,0.08
1983,MO,homicide,4970000,403,0.099
1983,MT,homicide,817000,30,0.086
1983,NC,homicide,6082000,490,0.09
1983,ND,homicide,680000,14,0.057
1983,NE,homicide,1597000,42,0.056
1983,NH,homicide,959000,19,0.055
1983,NJ,homicide,7468000,399,0.08
1983,NM,homicide,1399000,124,0.097
1983,NV,homicide,891000,114,0.096
1983,NY,homicide,17667000,1958,0.087
1983,OH,homicide,10746000,600,0.124
1983,OK,homicide,3298000,249,0.084
1983,OR,homicide,2662000,109,0.108
1983,PA,homicide,11895000,583,0.115
1983,RI,homicide,955000,26,0.083
1983,SC,homicide,3264000,321,0.099
1983,SD,homicide,700000,15,0.052
1983,TN,homicide,4685000,410,0.116
1983,TX,homicide,15724000,2239,0.079
1983,UT,homicide,1619000,56,0.087
1983,VA,homicide,5550000,387,0.064
1983,VT,homicide,525000,19,0.064
1983,WA,homicide,4300000,212,0.111
1983,WI,homicide,4751000,131,0.103
1983,WV,homicide,1965000,96,0.178
1983,WY,homicide,514000,30,0.081
1984,AK,homicide,500000,58,0.099
1984,AL,homicide,3990000,374,0.11
1984,AR,homicide,2349000,176,0.087
1984,AZ,homicide,3053000,238,0.052
1984,CA,homicide,25622000,2717,0.078
1984,CO,homicide,3178000,184,0.054
1984,CT,homicide,3154000,122,0.047
1984,DC,homicide,623000,175,0.092
1984,DE,homicide,613000,25,0.063
1984,FL,homicide,10976000,1264,0.064
1984,GA,homicide,5837000,546,0.061
1984,HI,homicide,1039000,34,0.057
1984,IA,homicide,2910000,59,0.07
1984,ID,homicide,1001000,34,0.073
1984,IL,homicide,11511000,1033,0.09
1984,IN,homicide,5498000,303,0.086
1984,KS,homicide,2438000,89,0.049
1984,KY,homicide,3723000,244,0.093
1984,LA,homicide,4462000,575,0.101
1984,MA,homicide,5798000,211,0.048
1984,MD,homicide,4349000,354,0.054
1984,ME,homicide,1156000,20,0.062
1984,MI,homicide,9075000,879,0.112
1984,MN,homicide,4162000,74,0.063
1984,MO,homicide,5008000,358,0.072
1984,MT,homicide,824000,36,0.076
1984,NC,homicide,6165000,539,0.067
1984,ND,homicide,686000,8,0.053
1984,NE,homicide,1606000,54,0.045
1984,NH,homicide,977000,10,0.043
1984,NJ,homicide,7515000,402,0.062
