YrSt_ID,population,population_unemp,violent_crime,Unemp_Yr_Avg
1992 - AZ,3832000,287400.0,25706,7.5
1992 - CA,30867000,2870631.0,345624,9.3
1992 - CO,3470000,208200.0,20086,6.0
1992 - CT,3281000,246075.0,16252,7.5
1992 - DC,589000,50654.0,16685,8.6
1992 - DE,689000,37206.0,4280,5.4
1992 - FL,13488000,1106016.0,162827,8.2
1992 - GA,6751000,465819.0,49496,6.9
1992 - HI,1160000,49880.0,2998,4.3
1992 - IA,2812000,126540.0,7816,4.5
1992 - ID,1067000,68288.0,3003,6.4
1992 - IL,11631000,918849.0,113664,7.9
1992 - IN,5662000,368030.0,28791,6.5
1992 - KS,2523000,113535.0,12888,4.5
1992 - KY,3755000,259095.0,20107,6.9
1992 - LA,4287000,342960.0,42209,8.0
1992 - MA,5998000,509830.0,46727,8.5
1992 - MD,4908000,333744.0,49085,6.8
1992 - ME,1235000,90155.0,1616,7.3
1992 - MI,9437000,849330.0,72672,9.0
1992 - MN,4480000,228480.0,15144,5.1
1992 - MO,5193000,321966.0,38448,6.2
1992 - MT,824000,55208.0,1400,6.7
1992 - NC,6843000,417423.0,46600,6.1
1992 - ND,636000,30528.0,530,4.8
1992 - NE,1606000,46574.0,5598,2.9
1992 - NH,1111000,81103.0,1397,7.3
1992 - NJ,7789000,654276.0,48745,8.4
1992 - NM,1581000,113832.0,14781,7.2
1992 - NV,1327000,88909.0,9247,6.7
1992 - NY,18119000,1558234.0,203311,8.6
1992 - OH,11016000,815184.0,57935,7.4
1992 - OK,3212000,192720.0,20005,6.0
1992 - OR,2977000,220298.0,15189,7.4
1992 - PA,12009000,912684.0,51276,7.6
1992 - RI,1005000,89445.0,3965,8.9
1992 - SC,3603000,241401.0,34029,6.7
1992 - SD,711000,23463.0,1383,3.3
1992 - TN,5024000,326560.0,37487,6.5
1992 - TX,17656000,1341856.0,142369,7.6
1992 - UT,1813000,88837.0,5267,4.9
1992 - VA,6377000,401751.0,23907,6.3
1992 - VT,570000,34770.0,624,6.1
1992 - WA,5136000,374928.0,27454,7.3
1992 - WI,5007000,255357.0,13806,5.1
1992 - WV,1812000,204756.0,3833,11.3
1992 - WY,466000,26096.0,1489,5.6
1993 - AK,599000,46123.0,4557,7.7
1993 - AL,4187000,305651.0,32676,7.3
1993 - AR,2424000,150288.0,14381,6.2
1993 - AZ,3936000,251904.0,28142,6.4
1993 - CA,31211000,2965045.0,336381,9.5
1993 - CO,3566000,188998.0,20229,5.3
1993 - CT,3277000,216282.0,14949,6.6
1993 - DC,578000,49130.0,16888,8.5
1993 - DE,700000,35000.0,4801,5.0
1993 - FL,13679000,971209.0,164975,7.1
1993 - GA,6917000,415020.0,50019,6.0
1993 - HI,1172000,52740.0,3061,4.5
1993 - IA,2814000,115374.0,9159,4.1
1993 - ID,1099000,65940.0,3097,6.0
1993 - IL,11697000,865578.0,112260,7.4
1993 - IN,5713000,308502.0,27941,5.4
1993 - KS,2531000,126550.0,12564,5.0
1993 - KY,3789000,234918.0,17530,6.2
1993 - LA,4295000,326420.0,45600,7.6
1993 - MA,6012000,420840.0,48393,7.0
1993 - MD,4965000,307830.0,49540,6.2
1993 - ME,1239000,90447.0,1558,7.3
1993 - MI,9478000,682416.0,75021,7.2
1993 - MN,4517000,225850.0,15986,5.0
1993 - MO,5234000,324508.0,38963,6.2
1993 - MT,839000,51179.0,1489,6.1
1993 - NC,6945000,347250.0,47178,5.0
1993 - ND,635000,27305.0,522,4.3
1993 - NE,1607000,44996.0,6071,2.8
1993 - NH,1125000,69750.0,1550,6.2
1993 - NJ,7879000,598804.0,49390,7.6
1993 - NM,1616000,113120.0,15024,7.0
1993 - NV,1389000,95841.0,12157,6.9
1993 - NY,18197000,1437563.0,195352,7.9
1993 - OH,11091000,732006.0,55915,6.6
1993 - OK,3231000,190629.0,20512,5.9
1993 - OR,3032000,212240.0,15254,7.0
1993 - PA,12048000,843360.0,50295,7.0
1993 - RI,1000000,77000.0,4017,7.7
1993 - SC,3643000,265939.0,37281,7.3
1993 - SD,715000,24310.0,1490,3.4
1993 - TN,5099000,295742.0,39047,5.8
1993 - TX,18031000,1298232.0,137419,7.2
1993 - UT,1860000,76260.0,5599,4.1
1993 - VA,6491000,337532.0,24160,5.2
1993 - VT,576000,29952.0,658,5.2
1993 - WA,5255000,383615.0,27040,7.3
1993 - WI,5038000,241824.0,13321,4.8
1993 - WV,1820000,192920.0,3793,10.6
1993 - WY,470000,25380.0,1345,5.4
1994 - AK,606000,46056.0,4644,7.6
1994 - AL,4219000,261578.0,28844,6.2
1994 - AR,2453000,132462.0,14598,5.4
1994 - AZ,4075000,252650.0,28653,6.2
1994 - CA,31431000,2703066.0,318395,8.6
1994 - CO,3656000,157208.0,18632,4.3
1994 - CT,3275000,183400.0,14916,5.6
1994 - DC,570000,45600.0,15177,8.0
1994 - DE,706000,33888.0,4549,4.8
1994 - FL,13953000,906945.0,160016,6.5
1994 - GA,7055000,366860.0,47103,5.2
1994 - HI,1179000,64845.0,3091,5.5
1994 - IA,2829000,99015.0,8914,3.5
1994 - ID,1133000,61182.0,3238,5.4
1994 - IL,11752000,681616.0,112928,5.8
1994 - IN,5752000,281848.0,30205,4.9
1994 - KS,2554000,125146.0,11314,4.9
1994 - KY,3827000,206658.0,16991,5.4
1994 - LA,4315000,340885.0,42369,7.9
1994 - MA,6041000,368501.0,42749,6.1
1994 - MD,5006000,265318.0,47457,5.3
1994 - ME,1240000,86800.0,1611,7.0
1994 - MI,9496000,569760.0,72751,6.0
1994 - MN,4567000,187247.0,16397,4.1
1994 - MO,5278000,269178.0,39240,5.1
1994 - MT,856000,45368.0,1516,5.3
1994 - NC,7070000,311080.0,46308,4.4
1994 - ND,638000,23606.0,522,3.7
1994 - NE,1623000,43821.0,6322,2.7
1994 - NH,1137000,53439.0,1328,4.7
1994 - NJ,7904000,537472.0,48544,6.8
1994 - NM,1654000,107510.0,14708,6.5
1994 - NV,1457000,90334.0,14597,6.2
1994 - NY,18169000,1271830.0,175433,7.0
1994 - OH,11102000,621712.0,53930,5.6
1994 - OK,3258000,182448.0,21225,5.6
1994 - OR,3086000,166644.0,16067,5.4
1994 - PA,12052000,759276.0,51425,6.3
1994 - RI,997000,68793.0,3744,6.9
1994 - SC,3664000,227168.0,37756,6.2
1994 - SD,721000,23793.0,1641,3.3
1994 - TN,5175000,253575.0,38705,4.9
1994 - TX,18378000,1194570.0,129838,6.5
1994 - UT,1908000,72504.0,5810,3.8
1994 - VA,6552000,321048.0,23437,4.9
1994 - VT,580000,26680.0,562,4.6
1994 - WA,5343000,352638.0,27317,6.6
1994 - WI,5082000,228690.0,13748,4.5
1994 - WV,1822000,160336.0,3931,8.8
1994 - WY,476000,23800.0,1297,5.0
1995 - AK,604000,44092.0,4656,7.3
1995 - AL,4253000,255180.0,26894,6.0
1995 - AR,2484000,119232.0,13741,4.8
1995 - AZ,4218000,227772.0,30095,5.4
1995 - CA,31589000,2495531.0,305154,7.9
1995 - CO,3747000,149880.0,16494,4.0
1995 - CT,3275000,180125.0,13293,5.5
1995 - DC,554000,48752.0,14744,8.8
1995 - DE,717000,30831.0,5198,4.3
1995 - FL,14166000,779130.0,151711,5.5
1995 - GA,7201000,345648.0,47317,4.8
1995 - HI,1187000,70033.0,3509,5.9
1995 - IA,2842000,99470.0,10071,3.5
1995 - ID,1163000,62802.0,3745,5.4
1995 - IL,11830000,615160.0,117836,5.2
1995 - IN,5803000,266938.0,30451,4.6
1995 - KS,2565000,112860.0,10792,4.4
1995 - KY,3860000,208440.0,14079,5.4
1995 - LA,4342000,303940.0,43741,7.0
1995 - MA,6074000,321922.0,41739,5.3
1995 - MD,5042000,252100.0,49757,5.0
1995 - ME,1241000,74460.0,1631,6.0
1995 - MI,9549000,506097.0,65680,5.3
1995 - MN,4610000,175180.0,16416,3.8
1995 - MO,5324000,250228.0,35339,4.7
1995 - MS,2697000,167214.0,13560,6.2
1995 - MT,870000,49590.0,1491,5.7
1995 - NC,7195000,309385.0,46508,4.3
1995 - ND,641000,20512.0,556,3.2
1995 - NE,1637000,44199.0,6253,2.7
1995 - NH,1148000,45920.0,1314,4.0
1995 - NJ,7945000,508480.0,47652,6.4
1995 - NM,1685000,111210.0,13804,6.6
1995 - NV,1530000,85680.0,14461,5.6
1995 - NY,18136000,1142568.0,152683,6.3
1995 - OH,11151000,535248.0,53799,4.8
1995 - OK,3278000,150788.0,21770,4.6
1995 - OR,3141000,153909.0,16408,4.9
1995 - PA,12072000,712248.0,51586,5.9
1995 - RI,990000,62370.0,3643,6.3
1995 - SC,3673000,190996.0,36067,5.2
1995 - SD,729000,22599.0,1513,3.1
1995 - TN,5256000,273312.0,40549,5.2
1995 - TX,18724000,1142164.0,124303,6.1
1995 - UT,1951000,68285.0,6415,3.5
1995 - VA,6618000,297810.0,23921,4.5
1995 - VT,585000,25155.0,692,4.3
1995 - WA,5431000,347584.0,26300,6.4
1995 - WI,5123000,194674.0,14399,3.8
1995 - WV,1828000,144412.0,3842,7.9
1995 - WY,480000,23040.0,1220,4.8
1996 - AK,607000,46132.0,4417,7.6
1996 - AL,4273000,222196.0,24159,5.2
1996 - AR,2510000,133030.0,13161,5.3
1996 - AZ,4428000,247968.0,27963,5.6
1996 - CA,31878000,2327094.0,274996,7.3
1996 - CO,3823000,160566.0,15463,4.2
1996 - CT,3274000,180070.0,13490,5.5
1996 - DC,543000,45612.0,13411,8.4
1996 - DE,725000,36975.0,4845,5.1
1996 - FL,14400000,734400.0,151350,5.1
1996 - GA,7353000,345591.0,46966,4.7
1996 - HI,1184000,74592.0,3322,6.3
1996 - IA,2852000,99820.0,7771,3.5
1996 - ID,1189000,63017.0,3177,5.3
1996 - IL,11847000,627891.0,105482,5.3
1996 - IN,5841000,239481.0,31366,4.1
1996 - KS,2572000,110596.0,10642,4.3
1996 - KY,3884000,213620.0,12448,5.5
1996 - LA,4351000,287166.0,40426,6.6
1996 - MA,6092000,268048.0,39122,4.4
1996 - MD,5072000,258672.0,47230,5.1
1996 - ME,1243000,64636.0,1553,5.2
1996 - MI,9594000,470106.0,60951,4.9
1996 - MN,4658000,186320.0,15782,4.0
1996 - MO,5359000,257232.0,31669,4.8
1996 - MS,2716000,162960.0,13261,6.0
1996 - MT,879000,46587.0,1415,5.3
1996 - NC,7323000,314889.0,43068,4.3
1996 - ND,644000,18676.0,541,2.9
1996 - NE,1652000,44604.0,7182,2.7
1996 - NH,1162000,44156.0,1373,3.8
1996 - NJ,7988000,495256.0,42459,6.2
1996 - NM,1713000,123336.0,14399,7.2
1996 - NV,1603000,80150.0,13005,5.0
1996 - NY,18185000,1127470.0,132206,6.2
1996 - OH,11173000,558650.0,47896,5.0
1996 - OK,3301000,135341.0,19710,4.1
1996 - OR,3204000,182628.0,14837,5.7
1996 - PA,12056000,663080.0,57905,5.5
1996 - RI,990000,54450.0,3437,5.5
1996 - SC,3699000,214542.0,36875,5.8
1996 - SD,732000,23424.0,1297,3.2
1996 - TN,5320000,276640.0,41175,5.2
1996 - TX,19128000,1090296.0,123270,5.7
1996 - UT,2000000,68000.0,6638,3.4
1996 - VA,6675000,300375.0,22782,4.5
1996 - VT,589000,25327.0,714,4.3
1996 - WA,5533000,337513.0,23857,6.1
1996 - WI,5160000,185760.0,13039,3.6
1996 - WV,1826000,136950.0,3836,7.5
1996 - WY,481000,23569.0,1201,4.9
1997 - AK,609000,43848.0,4270,7.2
1997 - AL,4319000,215950.0,24379,5.0
1997 - AR,2523000,131196.0,13293,5.2
1997 - AZ,4555000,209530.0,28411,4.6
1997 - CA,32268000,2065152.0,257582,6.4
1997 - CO,3893000,136255.0,14139,3.5
1997 - CT,3270000,163500.0,12781,5.0
1997 - DC,529000,42320.0,10708,8.0
1997 - DE,732000,29280.0,5753,4.0
1997 - FL,14654000,703392.0,149996,4.8
1997 - GA,7486000,344356.0,45408,4.6
1997 - HI,1187000,73594.0,3299,6.2
1997 - IA,2852000,88412.0,8841,3.1
1997 - ID,1210000,62920.0,3107,5.2
1997 - IL,11896000,571008.0,102476,4.8
1997 - IN,5864000,205240.0,30179,3.5
1997 - KS,2595000,98610.0,11151,3.8
1997 - KY,3908000,207124.0,12386,5.3
1997 - LA,4352000,261120.0,37248,6.0
1997 - MA,6118000,238602.0,39411,3.9
1997 - MD,5094000,254700.0,43127,5.0
1997 - ME,1242000,63342.0,1500,5.1
1997 - MI,9774000,420282.0,57663,4.3
1997 - MN,4686000,154638.0,15827,3.3
1997 - MO,5402000,232286.0,31192,4.3
1997 - MS,2731000,155667.0,12808,5.7
1997 - MT,879000,46587.0,1161,5.3
1997 - NC,7425000,282150.0,45071,3.8
1997 - ND,641000,17307.0,559,2.7
1997 - NE,1657000,41425.0,7265,2.5
1997 - NH,1173000,38709.0,1328,3.3
1997 - NJ,8053000,426809.0,39673,5.3
1997 - NM,1730000,108990.0,14762,6.3
1997 - NV,1677000,73788.0,13395,4.4
1997 - NY,18137000,1160768.0,124890,6.4
1997 - OH,11186000,514556.0,48706,4.6
1997 - OK,3317000,135997.0,18560,4.1
1997 - OR,3243000,184851.0,14412,5.7
1997 - PA,12020000,613020.0,53140,5.1
1997 - RI,987000,51324.0,3292,5.2
1997 - SC,3760000,172960.0,37235,4.6
1997 - SD,738000,21402.0,1457,2.9
1997 - TN,5368000,284504.0,42389,5.3
1997 - TX,19439000,1030267.0,117126,5.3
1997 - UT,2059000,65888.0,6878,3.2
1997 - VA,6734000,255892.0,23249,3.8
1997 - VT,589000,22971.0,705,3.9
1997 - WA,5610000,274890.0,24724,4.9
1997 - WI,5170000,186120.0,13988,3.6
1997 - WV,1816000,125304.0,3971,6.9
1997 - WY,480000,23040.0,1225,4.8
1998 - AK,614000,39296.0,4015,6.4
1998 - AL,4352000,191488.0,22286,4.4
1998 - AR,2538000,131976.0,12442,5.2
1998 - AZ,4669000,200767.0,26984,4.3
1998 - CA,32667000,1927353.0,229883,5.9
1998 - CO,3971000,142956.0,15008,3.6
1998 - CT,3274000,111316.0,11993,3.4
1998 - DC,523000,43932.0,8988,8.4
1998 - DE,744000,27528.0,5672,3.7
1998 - FL,14916000,641388.0,140016,4.3
1998 - GA,7642000,328606.0,43762,4.3
1998 - HI,1193000,72773.0,2946,6.1
1998 - IA,2862000,80136.0,8916,2.8
1998 - ID,1229000,62679.0,3468,5.1
1998 - IL,12045000,529980.0,97291,4.4
1998 - IN,5899000,182869.0,25423,3.1
1998 - KS,2629000,92015.0,10972,3.5
1998 - KY,3936000,181056.0,12909,4.6
1998 - LA,4369000,249033.0,34057,5.7
1998 - MA,6147000,202851.0,38192,3.3
1998 - MD,5135000,225940.0,40903,4.4
1998 - ME,1244000,55980.0,1566,4.5
1998 - MI,9817000,382863.0,60947,3.9
1998 - MN,4725000,127575.0,14656,2.7
1998 - MO,5439000,228438.0,30222,4.2
1998 - MS,2752000,145856.0,11302,5.3
1998 - MT,880000,48400.0,1797,5.5
1998 - NC,7546000,264110.0,43723,3.5
1998 - ND,638000,18502.0,570,2.9
1998 - NE,1663000,43238.0,7507,2.6
1998 - NH,1185000,33180.0,1270,2.8
1998 - NJ,8115000,373290.0,35720,4.6
1998 - NM,1737000,105957.0,16700,6.1
1998 - NV,1747000,73374.0,11244,4.2
1998 - NY,18175000,1017800.0,115915,5.6
1998 - OH,11209000,481987.0,40628,4.3
1998 - OK,3347000,143921.0,18053,4.3
1998 - OR,3282000,190356.0,13778,5.8
1998 - PA,12001000,552046.0,50470,4.6
1998 - RI,988000,45448.0,3084,4.6
1998 - SC,3836000,145768.0,34647,3.8
1998 - SD,738000,20664.0,1139,2.8
1998 - TN,5431000,233533.0,38832,4.3
1998 - TX,19760000,968240.0,111566,4.9
1998 - UT,2100000,77700.0,6599,3.7
1998 - VA,6791000,196939.0,22115,2.9
1998 - VT,591000,20094.0,628,3.4
1998 - WA,5689000,273072.0,24380,4.8
1998 - WI,5224000,177616.0,13009,3.4
1998 - WV,1811000,119526.0,4503,6.6
1998 - WY,481000,22607.0,1191,4.7
1999 - AK,619500,40268.0,3908,6.5
1999 - AL,4369862,205384.0,21421,4.7
1999 - AR,2551373,117363.0,10848,4.6
1999 - AZ,4778332,210247.0,26334,4.4
1999 - CA,33145121,1723546.0,207879,5.2
1999 - CO,4056133,125740.0,13811,3.1
1999 - CT,3282031,95179.0,11342,2.9
1999 - DC,519000,33216.0,8448,6.4
1999 - DE,753538,25620.0,5534,3.4
1999 - FL,15111244,589339.0,129044,3.9
1999 - GA,7788240,303741.0,41585,3.9
1999 - HI,1185497,64017.0,2785,5.4
1999 - IA,2869413,74605.0,8034,2.6
1999 - ID,1251700,61333.0,3066,4.9
1999 - IL,12128370,533648.0,83621,4.4
1999 - IN,5942901,178287.0,22261,3.0
1999 - KS,2654052,87584.0,10159,3.3
1999 - KY,3960825,178237.0,12212,4.5
1999 - LA,4372035,222974.0,32033,5.1
1999 - MA,6175169,197605.0,34023,3.2
1999 - MD,5171634,186179.0,38447,3.6
1999 - ME,1253040,50122.0,1404,4.0
1999 - MI,9863775,364960.0,56709,3.7
1999 - MN,4775508,133714.0,13085,2.8
1999 - MO,5468338,180455.0,27353,3.3
1999 - MS,2768619,141200.0,9671,5.1
1999 - MT,882779,46787.0,2090,5.3
1999 - NC,7650789,244825.0,41474,3.2
1999 - ND,633666,20911.0,424,3.3
1999 - NE,1666028,46649.0,7167,2.8
1999 - NH,1201134,32431.0,1159,2.7
1999 - NJ,8143412,366454.0,33540,4.5
1999 - NM,1739844,97431.0,14520,5.6
1999 - NV,1809253,72370.0,10311,4.0
1999 - NY,18196601,946223.0,107147,5.2
1999 - OH,11256654,484036.0,35616,4.3
1999 - OK,3358044,117532.0,17066,3.5
1999 - OR,3316154,182388.0,12432,5.5
1999 - PA,11994016,527737.0,50431,4.4
1999 - RI,990819,41614.0,2840,4.2
1999 - SC,3885736,167087.0,32920,4.3
1999 - SD,733133,19795.0,1227,2.7
1999 - TN,5483535,219341.0,38111,4.0
1999 - TX,20044141,942075.0,112306,4.7
1999 - UT,2129836,74544.0,5869,3.5
1999 - VA,6872912,192442.0,21626,2.8
1999 - VT,593740,17812.0,676,3.0
1999 - WA,5756361,282062.0,21716,4.9
1999 - WI,5250446,162764.0,12908,3.1
1999 - WV,1806928,117450.0,6336,6.5
1999 - WY,479602,22062.0,1115,4.6
2000 - AK,626932,40124.0,3554,6.4
2000 - AL,4447100,204567.0,21620,4.6
2000 - AR,2673400,114956.0,11904,4.3
2000 - AZ,5130632,205225.0,27281,4.0
2000 - CA,33871648,1659711.0,210531,4.9
2000 - CO,4301261,120435.0,14367,2.8
2000 - CT,3405565,81734.0,11058,2.4
2000 - DC,572059,32035.0,8626,5.6
2000 - DE,783600,28993.0,5363,3.7
2000 - FL,15982378,591348.0,129777,3.7
2000 - GA,8186453,294712.0,41319,3.6
2000 - HI,1211537,52096.0,2954,4.3
2000 - IA,2926324,76084.0,7796,2.6
2000 - ID,1293953,60816.0,3267,4.7
2000 - IL,12419293,534030.0,81196,4.3
2000 - IN,6080485,188495.0,21230,3.1
2000 - KS,2688418,96783.0,10470,3.6
2000 - KY,4041769,169754.0,11903,4.2
2000 - LA,4468976,236856.0,30440,5.3
2000 - MA,6349097,171426.0,30230,2.7
2000 - MD,5296486,190673.0,41663,3.6
2000 - ME,1274923,43347.0,1397,3.4
2000 - MI,9938444,357784.0,55159,3.6
2000 - MN,4919479,157423.0,13813,3.2
2000 - MO,5595211,201428.0,27419,3.6
2000 - MS,2844658,153612.0,10267,5.4
2000 - MT,902195,45110.0,2807,5.0
2000 - NC,8049313,297825.0,40051,3.7
2000 - ND,642200,19266.0,523,3.0
2000 - NE,1711263,47915.0,5606,2.8
2000 - NH,1235786,33366.0,2167,2.7
2000 - NJ,8414350,311331.0,32298,3.7
2000 - NM,1819046,89133.0,13786,4.9
2000 - NV,1998257,83927.0,10474,4.2
2000 - NY,18976457,872917.0,105111,4.6
2000 - OH,11353140,454126.0,37935,4.0
2000 - OK,3450654,103520.0,17177,3.0
2000 - OR,3421399,174491.0,12000,5.1
2000 - PA,12281054,503523.0,51584,4.1
2000 - RI,1048319,42981.0,3121,4.1
2000 - SC,4012012,152456.0,33225,3.8
2000 - SD,754844,18871.0,1259,2.5
2000 - TN,5689283,221882.0,40233,3.9
2000 - TX,20851820,896628.0,113653,4.3
2000 - UT,2233169,73695.0,5711,3.3
2000 - VA,7078515,162806.0,19943,2.3
2000 - VT,608827,17047.0,691,2.8
2000 - WA,5894121,306494.0,21788,5.2
2000 - WI,5363675,187729.0,12700,3.5
2000 - WV,1808344,99459.0,5723,5.5
2000 - WY,493782,19257.0,1316,3.9
2001 - AK,633630,40552.0,3735,6.4
2001 - AL,4468912,227915.0,19582,5.1
2001 - AR,2694698,134735.0,12190,5.0
2001 - AZ,5306966,254734.0,28675,4.8
2001 - CA,34600463,1868425.0,212867,5.4
2001 - CO,4430989,168378.0,15492,3.8
2001 - CT,3434602,106473.0,11492,3.1
2001 - DC,573822,36151.0,9195,6.3
2001 - DE,796599,27881.0,4868,3.5
2001 - FL,16373330,753173.0,130713,4.6
2001 - GA,8405677,344633.0,41671,4.1
2001 - HI,1227024,55216.0,3117,4.5
2001 - IA,2931967,96755.0,7865,3.3
2001 - ID,1320585,67350.0,3211,5.1
2001 - IL,12520227,663572.0,79270,5.3
2001 - IN,6126743,263450.0,22734,4.3
2001 - KS,2702125,113489.0,10909,4.2
2001 - KY,4068816,211578.0,10510,5.2
2001 - LA,4470368,254811.0,30678,5.7
2001 - MA,6401164,236843.0,30585,3.7
2001 - MD,5386079,215443.0,42088,4.0
2001 - ME,1284470,48810.0,1435,3.8
2001 - MI,10006266,520326.0,55424,5.2
2001 - MN,4984535,189412.0,13145,3.8
2001 - MO,5637309,259316.0,30472,4.6
2001 - MS,2859733,157285.0,10006,5.5
2001 - MT,905382,41648.0,3187,4.6
2001 - NC,8206105,451336.0,40465,5.5
2001 - ND,636550,18460.0,505,2.9
2001 - NE,1720039,53321.0,5214,3.1
2001 - NH,1259359,42818.0,2144,3.4
2001 - NJ,8511116,365978.0,33094,4.3
2001 - NM,1830935,89716.0,14288,4.9
2001 - NV,2097722,109082.0,12359,5.2
2001 - NY,19084350,916049.0,98022,4.8
2001 - OH,11389785,489761.0,40023,4.3
2001 - OK,3469577,128374.0,17726,3.7
2001 - OR,3473441,222300.0,10650,6.4
2001 - PA,12303104,590549.0,50432,4.8
2001 - RI,1059659,48744.0,3278,4.6
2001 - SC,4062125,211230.0,33114,5.2
2001 - SD,758324,23508.0,1171,3.1
2001 - TN,5749398,264472.0,42776,4.6
2001 - TX,21370983,1047178.0,122155,4.9
2001 - UT,2278712,100263.0,5314,4.4
2001 - VA,7196750,230296.0,20939,3.2
2001 - VT,612978,20228.0,644,3.3
2001 - WA,5993390,377584.0,21258,6.3
2001 - WI,5405947,243268.0,12486,4.5
2001 - WV,1800975,90049.0,5035,5.0
2001 - WY,493754,18763.0,1272,3.8
2002 - AK,641482,46828.0,3627,7.3
2002 - AL,4478896,264255.0,19931,5.9
2002 - AR,2706268,148845.0,11501,5.5
2002 - AZ,5441125,331909.0,30171,6.1
2002 - CA,35001986,2345133.0,208388,6.7
2002 - CO,4501051,247558.0,15882,5.5
2002 - CT,3458587,148719.0,10807,4.3
2002 - DC,569157,36426.0,9322,6.4
2002 - DE,805945,32238.0,4836,4.0
2002 - FL,16691701,934735.0,128721,5.6
2002 - GA,8544005,427200.0,39271,5.0
2002 - HI,1240663,52108.0,3262,4.2
2002 - IA,2935840,117434.0,8388,4.0
2002 - ID,1343124,75215.0,3419,5.6
2002 - IL,12586447,818119.0,75759,6.5
2002 - IN,6156913,320159.0,22001,5.2
2002 - KS,2711769,135588.0,10229,5.0
2002 - KY,4089822,233120.0,11101,5.7
2002 - LA,4476192,277524.0,29690,6.2
2002 - MA,6421800,340355.0,31137,5.3
2002 - MD,5450525,239823.0,42015,4.4
2002 - ME,1294894,56975.0,1396,4.4
2002 - MI,10043221,632723.0,54306,6.3
2002 - MN,5024791,226116.0,13428,4.5
2002 - MO,5669544,306155.0,30557,5.4
2002 - MS,2866733,189204.0,9858,6.6
2002 - MT,910372,40056.0,3197,4.4
2002 - NC,8305820,556490.0,39118,6.7
2002 - ND,633911,23455.0,496,3.7
2002 - NE,1727564,63920.0,5428,3.7
2002 - NH,1274405,57348.0,2056,4.5
2002 - NJ,8575252,497365.0,32252,5.8
2002 - NM,1852044,101862.0,13719,5.5
2002 - NV,2167455,121377.0,13856,5.6
2002 - NY,19134293,1186326.0,95030,6.2
2002 - OH,11408699,650296.0,40128,5.7
2002 - OK,3489700,160526.0,17587,4.6
2002 - OR,3520355,264027.0,10298,7.5
2002 - PA,12328827,690414.0,49578,5.6
2002 - RI,1068326,53416.0,3051,5.0
2002 - SC,4103770,238019.0,33761,5.8
2002 - SD,760437,24334.0,1350,3.2
2002 - TN,5789796,301069.0,41562,5.2
2002 - TX,21736925,1369426.0,126018,6.3
2002 - UT,2318789,134490.0,5488,5.8
2002 - VA,7287829,306089.0,21256,4.2
2002 - VT,616408,24656.0,658,4.0
2002 - WA,6067060,448962.0,20964,7.4
2002 - WI,5439692,293743.0,12238,5.4
2002 - WV,1804884,106488.0,4221,5.9
2002 - WY,498830,19953.0,1364,4.0
2003 - AK,648280,50566.0,3877,7.8
2003 - AL,4503726,270224.0,19331,6.0
2003 - AR,2727774,160939.0,12449,5.9
2003 - AZ,5579222,318016.0,28638,5.7
2003 - CA,35462712,2411464.0,205551,6.8
2003 - CO,4547633,272858.0,15757,6.0
2003 - CT,3486960,188296.0,11045,5.4
2003 - DC,557620,37918.0,9061,6.8
2003 - DE,818166,35181.0,5525,4.3
2003 - FL,16999181,883957.0,124280,5.2
2003 - GA,8676460,416470.0,39435,4.8
2003 - HI,1248755,51199.0,3400,4.1
2003 - IA,2941976,132389.0,8175,4.5
2003 - ID,1367034,76554.0,3362,5.6
2003 - IL,12649087,860138.0,70376,6.8
2003 - IN,6199571,328577.0,21842,5.3
2003 - KS,2724786,149863.0,10831,5.5
2003 - KY,4118189,251210.0,10232,6.1
2003 - LA,4493665,287595.0,28622,6.4
2003 - MA,6420357,365960.0,30377,5.7
2003 - MD,5512310,242542.0,38778,4.4
2003 - ME,1309205,65460.0,1422,5.0
2003 - MI,10082364,725930.0,51550,7.2
2003 - MN,5064172,248144.0,13316,4.9
2003 - MO,5719204,320275.0,28067,5.6
2003 - MS,2882594,181603.0,9336,6.3
2003 - MT,918157,43153.0,3351,4.7
2003 - NC,8421190,538956.0,38243,6.4
2003 - ND,633400,23436.0,508,3.7
2003 - NE,1737475,67762.0,5105,3.9
2003 - NH,1288705,55414.0,1937,4.3
2003 - NJ,8642412,501260.0,31488,5.8
2003 - NM,1878562,110835.0,12535,5.9
2003 - NV,2242207,114353.0,13813,5.1
2003 - NY,19212425,1229595.0,89486,6.4
2003 - OH,11437680,709136.0,38185,6.2
2003 - OK,3506469,192856.0,17758,5.5
2003 - OR,3564330,288711.0,10506,8.1
2003 - PA,12370761,705133.0,49210,5.7
2003 - RI,1076084,57032.0,3074,5.3
2003 - SC,4148744,286263.0,33455,6.9
2003 - SD,764905,26772.0,1329,3.5
2003 - TN,5845208,327332.0,40409,5.6
2003 - TX,22103374,1480926.0,122246,6.7
2003 - UT,2352119,131719.0,5889,5.6
2003 - VA,7365284,301977.0,20490,4.1
2003 - VT,619343,26632.0,707,4.3
2003 - WA,6131298,453716.0,21272,7.4
2003 - WI,5474290,312035.0,12104,5.7
2003 - WV,1811440,110498.0,4627,6.1
2003 - WY,502111,21591.0,1314,4.3
2004 - AK,657755,49332.0,4159,7.5
2004 - AL,4525375,257946.0,19324,5.7
2004 - AR,2750000,156750.0,13814,5.7
2004 - AZ,5739879,286994.0,28952,5.0
