YrSt_ID,population,population_unemp,violent_crime,Unemp_Yr_Avg
1982 - RI,958000,92926.0,3849,9.7
1982 - SC,3203000,355533.0,23061,11.1
1982 - SD,691000,38005.0,684,5.5
1982 - TN,4651000,544167.0,19586,11.7
1982 - TX,15280000,1054320.0,88178,6.9
1982 - UT,1554000,127428.0,4440,8.2
1982 - VA,5491000,406334.0,16970,7.4
1982 - VT,516000,36120.0,655,7.0
1982 - WA,4245000,509400.0,17251,12.0
1982 - WI,4765000,500325.0,9077,10.5
1982 - WV,1948000,272720.0,3405,14.0
1982 - WY,502000,31124.0,1527,6.2
1983 - AK,479000,47900.0,2940,10.0
1983 - AL,3959000,546342.0,16471,13.8
1983 - AR,2328000,230472.0,6930,9.9
1983 - AZ,2963000,260744.0,14642,8.8
1983 - CA,25174000,2467052.0,194491,9.8
1983 - CO,3139000,222869.0,14955,7.1
1983 - CT,3138000,188280.0,11767,6.0
1983 - DC,623000,69776.0,11933,11.2
1983 - DE,606000,46662.0,2746,7.7
1983 - FL,10680000,907800.0,88292,8.5
1983 - GA,5732000,441364.0,26179,7.7
1983 - HI,1023000,63426.0,2579,6.2
1983 - IA,2905000,235305.0,5262,8.1
1983 - ID,989000,89010.0,2361,9.0
1983 - IL,11486000,1355348.0,83629,11.8
1983 - IN,5479000,613648.0,15547,11.2
1983 - KS,2425000,143075.0,7919,5.9
1983 - KY,3714000,423396.0,11967,11.4
1983 - LA,4438000,510370.0,28444,11.5
1983 - MA,5767000,392156.0,33264,6.8
1983 - MD,4304000,301280.0,34736,7.0
1983 - ME,1146000,95118.0,1829,8.3
1983 - MI,9069000,1305936.0,64993,14.4
1983 - MN,4144000,331520.0,7909,8.0
1983 - MO,4970000,492030.0,23718,9.9
1983 - MT,817000,70262.0,1737,8.6
1983 - NC,6082000,547380.0,24911,9.0
1983 - ND,680000,38760.0,365,5.7
1983 - NE,1597000,89432.0,3477,5.6
1983 - NH,959000,52745.0,1200,5.5
1983 - NJ,7468000,597440.0,41304,8.0
1983 - NM,1399000,135703.0,9608,9.7
1983 - NV,891000,85536.0,5838,9.6
1983 - NY,17667000,1537029.0,161489,8.7
1983 - OH,10746000,1332504.0,42759,12.4
1983 - OK,3298000,277032.0,13964,8.4
1983 - OR,2662000,287496.0,12986,10.8
1983 - PA,11895000,1367925.0,40782,11.5
1983 - RI,955000,79265.0,3392,8.3
1983 - SC,3264000,323136.0,20133,9.9
1983 - SD,700000,36400.0,840,5.2
1983 - TN,4685000,543460.0,18836,11.6
1983 - TX,15724000,1242196.0,80546,7.9
1983 - UT,1619000,140853.0,4144,8.7
1983 - VA,5550000,355200.0,16236,6.4
1983 - VT,525000,33600.0,696,6.4
1983 - WA,4300000,477300.0,15986,11.1
1983 - WI,4751000,489353.0,9070,10.3
1983 - WV,1965000,349770.0,3375,17.8
1983 - WY,514000,41634.0,1219,8.1
1984 - AK,500000,49500.0,3108,9.9
1984 - AL,3990000,438900.0,17204,11.0
1984 - AR,2349000,204363.0,7549,8.7
1984 - AZ,3053000,158756.0,15756,5.2
1984 - CA,25622000,1998516.0,195589,7.8
1984 - CO,3178000,171612.0,14548,5.4
1984 - CT,3154000,148238.0,12422,4.7
1984 - DC,623000,57316.0,10725,9.2
1984 - DE,613000,38619.0,2671,6.3
1984 - FL,10976000,702464.0,95270,6.4
1984 - GA,5837000,356057.0,27935,6.1
1984 - HI,1039000,59223.0,2409,5.7
1984 - IA,2910000,203700.0,5781,7.0
1984 - ID,1001000,73073.0,2355,7.3
1984 - IL,11511000,1035990.0,83441,9.0
1984 - IN,5498000,472828.0,16781,8.6
1984 - KS,2438000,119462.0,8147,4.9
1984 - KY,3723000,346239.0,10342,9.3
1984 - LA,4462000,450662.0,30251,10.1
1984 - MA,5798000,278304.0,30362,4.8
1984 - MD,4349000,234846.0,34455,5.4
1984 - ME,1156000,71672.0,1832,6.2
1984 - MI,9075000,1016400.0,68979,11.2
1984 - MN,4162000,262206.0,8802,6.3
1984 - MO,5008000,360576.0,23071,7.2
1984 - MT,824000,62624.0,1958,7.6
1984 - NC,6165000,413055.0,24885,6.7
1984 - ND,686000,36358.0,368,5.3
1984 - NE,1606000,72270.0,3627,4.5
1984 - NH,977000,42011.0,1308,4.3
1984 - NJ,7515000,465930.0,39659,6.2
1984 - NM,1424000,111072.0,9798,7.8
1984 - NV,911000,71969.0,5726,7.9
1984 - NY,17735000,1276920.0,162157,7.2
1984 - OH,10752000,1021440.0,41430,9.5
1984 - OK,3298000,234158.0,13438,7.1
1984 - OR,2674000,251356.0,13533,9.4
1984 - PA,11901000,1082991.0,38154,9.1
1984 - RI,962000,52910.0,3220,5.5
1984 - SC,3300000,227700.0,20607,6.9
1984 - SD,706000,31064.0,1041,4.4
1984 - TN,4717000,405662.0,21010,8.6
1984 - TX,15989000,975329.0,80737,6.1
1984 - UT,1652000,107380.0,4035,6.5
1984 - VA,5636000,287436.0,16660,5.1
1984 - VT,530000,27030.0,769,5.1
1984 - WA,4349000,404457.0,17676,9.3
1984 - WI,4766000,352684.0,9367,7.4
1984 - WV,1952000,288896.0,3283,14.8
1984 - WY,511000,32193.0,1237,6.3
1985 - AK,521000,50537.0,3031,9.7
1985 - AL,4021000,369932.0,18398,9.2
