year,state_abbr,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault
1982,NM,1359000,9982,158,656,,1715,7453
1982,NV,881000,7096,120,542,,3697,2737
1982,NY,17659000,174833,2013,5159,,107843,59818
1982,OH,10791000,47126,676,3223,,19809,23418
1982,OK,3177000,14103,344,1180,,4218,8361
1982,OR,2649000,12529,136,1057,,4433,6903
1982,PA,11865000,42767,678,2448,,20806,18835
1982,RI,958000,3849,35,186,,1099,2529
1982,SC,3203000,23061,348,1242,,3921,17550
1982,SD,691000,684,19,79,,118,468
1982,TN,4651000,19586,452,1651,,8173,9310
1982,TX,15280000,88178,2466,6816,,33618,45278
1982,UT,1554000,4440,53,369,,1344,2674
1982,VA,5491000,16970,405,1366,,6708,8491
1982,VT,516000,655,12,180,,119,344
1982,WA,4245000,17251,185,1947,,5003,10116
1982,WI,4765000,9077,148,680,,3393,4856
1982,WV,1948000,3405,102,302,,970,2031
1982,WY,502000,1527,46,136,,172,1173
1983,AK,479000,2940,66,486,,465,1923
1983,AL,3959000,16471,364,931,,3895,11281
1983,AR,2328000,6930,178,586,,1614,4552
1983,AZ,2963000,14642,213,1241,,3923,9265
1983,CA,25174000,194491,2639,12093,,85826,93933
1983,CO,3139000,14955,202,1316,,3968,9469
1983,CT,3138000,11767,129,627,,6296,4715
1983,DC,623000,11933,183,406,,7698,3646
1983,DE,606000,2746,25,229,,699,1793
1983,FL,10680000,88292,1199,5170,,28126,53797
1983,GA,5732000,26179,483,2021,,8267,15408
1983,HI,1023000,2579,57,301,,1330,891
1983,IA,2905000,5262,68,365,,1192,3637
1983,ID,989000,2361,35,181,,270,1875
1983,IL,11486000,83629,1112,3619,,36625,42273
1983,IN,5479000,15547,286,1509,,5474,8278
1983,KS,2425000,7919,137,627,,2038,5117
1983,KY,3714000,11967,364,817,,3236,7550
1983,LA,4438000,28444,629,1770,,8433,17612
1983,MA,5767000,33264,203,1495,,12023,19543
1983,MD,4304000,34736,367,1412,,14950,18007
1983,ME,1146000,1829,24,193,,311,1301
1983,MI,9069000,64993,910,5085,,25873,33125
1983,MN,4144000,7909,69,927,,3298,3615
1983,MO,4970000,23718,403,1330,,8346,13639
1983,MT,817000,1737,30,162,,192,1353
1983,NC,6082000,24911,490,1332,,4840,18249
1983,ND,680000,365,14,85,,53,213
1983,NE,1597000,3477,42,339,,796,2300
1983,NH,959000,1200,19,187,,231,763
1983,NJ,7468000,41304,399,2266,,20086,18553
1983,NM,1399000,9608,124,671,,1595,7218
1983,NV,891000,5838,114,457,,2737,2530
1983,NY,17667000,161489,1958,5296,,94783,59452
1983,OH,10746000,42759,600,3387,,17132,21640
1983,OK,3298000,13964,249,1247,,4245,8223
1983,OR,2662000,12986,109,1078,,4533,7266
1983,PA,11895000,40782,583,2449,,20501,17249
1983,RI,955000,3392,26,160,,1078,2128
1983,SC,3264000,20133,321,1144,,3425,15243
1983,SD,700000,840,15,119,,111,595
1983,TN,4685000,18836,410,1682,,8094,8650
1983,TX,15724000,80546,2239,6333,,29769,42205
1983,UT,1619000,4144,56,403,,1041,2644
1983,VA,5550000,16236,387,1370,,6132,8347
1983,VT,525000,696,19,214,,146,317
1983,WA,4300000,15986,212,1923,,4533,9318
1983,WI,4751000,9070,131,861,,3415,4663
1983,WV,1965000,3375,96,263,,869,2147
1983,WY,514000,1219,30,110,,153,926
1984,AK,500000,3108,58,458,,547,2045
1984,AL,3990000,17204,374,1002,,3833,11995
1984,AR,2349000,7549,176,697,,1587,5089
1984,AZ,3053000,15756,238,1316,,4003,10199
1984,CA,25622000,195589,2717,11702,,83924,97246
1984,CO,3178000,14548,184,1238,,3623,9503
1984,CT,3154000,12422,122,759,,6009,5532
1984,DC,623000,10725,175,366,,6087,4097
1984,DE,613000,2671,25,300,,711,1635
1984,FL,10976000,95270,1264,5570,,30311,58125
1984,GA,5837000,27935,546,2356,,8414,16619
1984,HI,1039000,2409,34,314,,1204,857
1984,IA,2910000,5781,59,375,,1114,4233
1984,ID,1001000,2355,34,187,,244,1890
1984,IL,11511000,83441,1033,3594,,34965,43849
1984,IN,5498000,16781,303,1372,,5435,9671
1984,KS,2438000,8147,89,669,,1745,5644
1984,KY,3723000,10342,244,826,,2631,6641
1984,LA,4462000,30251,575,1864,,8501,19311
1984,MA,5798000,30362,211,1627,,10122,18402
1984,MD,4349000,34455,354,1640,,13097,19364
1984,ME,1156000,1832,20,155,,305,1352
1984,MI,9075000,68979,879,5880,,27832,34388
1984,MN,4162000,8802,74,1051,,2960,4717
1984,MO,5008000,23071,358,1325,,7053,14335
1984,MT,824000,1958,36,170,,226,1526
1984,NC,6165000,24885,539,1330,,4612,18404
1984,ND,686000,368,8,90,,53,217
1984,NE,1606000,3627,54,381,,693,2499
