weekNumber,Number
1.0,23
2.0,27
3.0,25
4.0,35
5.0,36
6.0,26
7.0,28
8.0,34
9.0,28
10.0,32
11.0,41
12.0,30
13.0,40
14.0,35
15.0,48
16.0,42
17.0,37
18.0,21
