weekNumber,Number
1.0,2
2.0,1
3.0,7
4.0,4
5.0,5
6.0,1
7.0,6
8.0,6
9.0,6
10.0,4
11.0,5
12.0,1
13.0,2
14.0,5
15.0,3
16.0,9
17.0,6
18.0,2
