weekNumber,Number
1.0,11
2.0,17
3.0,25
4.0,25
5.0,17
6.0,24
7.0,27
8.0,25
9.0,31
10.0,25
11.0,18
12.0,27
13.0,28
14.0,31
15.0,33
16.0,33
17.0,31
18.0,23
