weekNumber,Number
1.0,16
2.0,17
3.0,17
4.0,24
5.0,18
6.0,16
7.0,20
8.0,26
9.0,20
10.0,21
11.0,26
12.0,25
13.0,26
14.0,28
15.0,32
16.0,24
17.0,24
18.0,15
