Number,dateReported,startDate,offenseCode,offenseDescription,streetAddress,cityDescription,stateDescription,zipCode,longitude,latitude,Booked,DAComplaint,Cited,burglaryFactor,felonyMisdemeanor
MP19037549,"Dec 31, 2019, 5:19:20 AM","Dec 31, 2019, 5:19:20 AM",488 PC,488 PC PETTY THEFT 06 Theft 2305,3500 SHAWNEE DR,MO,,95356,-121.0261842,37.68978335,0,0,0,,MISDEMEANOR
MP20000138,"Jan 2, 2020, 2:14:00 PM","Dec 21, 2019, 6:00:00 PM",487 (A) PC,487 (A) PC GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400: FELONY 06 Theft 2284,1325 PALOMAR WAY,MODESTO,CALIFORNIA,95355,-120.97334,37.66269959,0,0,0,,FELONY
MP19037553,"Dec 31, 2019, 4:35:37 AM","Dec 31, 2019, 4:35:37 AM",488 PC,488 PC PETTY THEFT 06 Theft 2305,3813 INDIAN BUTTE CT,MO,,95355,-120.9247656,37.66519917,0,0,0,,MISDEMEANOR
MP20000044,"Jan 1, 2020, 2:49:10 PM","Dec 31, 2019, 12:00:00 PM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,2208 USTICK RD,MODESTO,CALIFORNIA,95358,-121.0116209,37.5970934,0,0,0,RESIDENCE - NIGHT (6PM - 6AM),MISDEMEANOR
MP20000175,"Jan 2, 2020, 6:34:39 PM","Jan 2, 2020, 6:00:00 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,1513 ROBERTSON RD,MODESTO,CALIFORNIA,95351,-121.0123792,37.61352143,1,0,0,RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20000164,"Jan 2, 2020, 4:36:45 PM","Dec 30, 2019, 4:30:00 PM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,522 E GRANGER AVE,MODESTO,CALIFORNIA,95350,-120.9861792,37.66691951,0,0,0,NON-RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20000182,"Jan 2, 2020, 8:23:13 PM","Jan 2, 2020, 8:23:13 PM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,1707 MC HENRY AVE,MO,CALIFORNIA,95350,-120.9945899,37.66979442,1,0,0,NON-RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20000151,"Jan 2, 2020, 3:27:01 PM","Dec 31, 2019, 4:30:00 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,3232 PIRELLI CT,MODESTO,CALIFORNIA,95355,-120.938804,37.68486556,0,0,0,RESIDENCE - UNKNOWN,FELONY
MP20000058,"Jan 1, 2020, 3:42:29 PM","Jan 1, 2020, 3:24:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,601 MAGNOLIA AVE,MO,,95354,-120.9968992,37.65264167,1,0,0,,FELONY
MP20000099,"Jan 2, 2020, 6:27:22 AM","Jan 1, 2020, 11:00:00 PM",487 (A) PC,487 (A) PC GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400: FELONY 06 Theft 2284,4005 MOUNT PLEASANT DR,MODESTO,CALIFORNIA,95357,-120.973902,37.69647873,0,0,0,,FELONY
MP20000010,"Jan 1, 2020, 2:17:30 AM","Jan 1, 2020, 2:15:00 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,400 TENNYSON DR,MO,,95351,-121.0224866,37.63551212,0,0,0,,FELONY
MP20000101,"Jan 2, 2020, 5:26:50 AM","Jan 1, 2020, 7:00:00 PM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,1220 13TH ST,MODESTO,CALIFORNIA,95354,-121.0000839,37.64533891,0,0,0,NON-RESIDENCE - NIGHT (6PM - 6AM),FELONY
