YrSt_ID,population,population_unemp,aggravated_assault,Unemp_Yr_Avg
2009 - GA,9829211,973092.0,24553,9.9
2009 - HI,1295178,93253.0,2112,7.2
2009 - IA,3007856,192503.0,6356,6.4
2009 - ID,1545801,136030.0,2952,8.8
2009 - IL,12910409,1316862.0,36588,10.2
2009 - IN,6423113,661581.0,12175,10.3
2009 - KS,2818747,194494.0,8370,6.9
2009 - KY,4314113,448668.0,5643,10.4
2009 - LA,4492076,305461.0,20848,6.8
2009 - MA,6593587,534081.0,21129,8.1
2009 - MD,5699478,398963.0,20022,7.0
2009 - ME,1318301,106782.0,780,8.1
2009 - MI,9969727,1365853.0,32251,13.7
2009 - MN,5266214,410765.0,7392,7.8
2009 - MO,5987580,556845.0,20083,9.3
2009 - MS,2951996,280440.0,4297,9.5
2009 - MT,974989,66299.0,2181,6.8
2009 - NC,9380884,994374.0,23326,10.6
2009 - ND,646844,26521.0,1308,4.1
2009 - NE,1796619,82644.0,3321,4.6
2009 - NH,1324575,82124.0,1261,6.2
2009 - NJ,8707739,792404.0,14114,9.1
2009 - NM,2009671,150725.0,9510,7.5
2009 - NV,2643085,298669.0,11431,11.3
2009 - NY,19541453,1621941.0,43606,8.3
2009 - OH,11542645,1188892.0,15989,10.3
2009 - OK,3687050,235971.0,13433,6.4
2009 - OR,3825657,432299.0,6179,11.3
2009 - PA,12604767,1020986.0,26394,8.1
2009 - RI,1053209,115853.0,1565,11.0
2009 - SC,4561242,515420.0,23078,11.3
2009 - SD,812383,39807.0,1129,4.9
2009 - TN,6296254,661107.0,29793,10.5
2009 - TX,24782302,1883455.0,74021,7.6
2009 - UT,2784572,203274.0,3714,7.3
2009 - VA,7882590,528134.0,9911,6.7
2009 - VT,621760,41036.0,586,6.6
2009 - WA,6664195,606442.0,12928,9.1
2009 - WI,5654774,486311.0,8482,8.6
2009 - WV,1819777,140123.0,4086,7.7
2009 - WY,544270,34289.0,935,6.3
2010 - AK,714146,56418.0,3379,7.9
2010 - AL,4785401,502467.0,11869,10.5
2010 - AR,2921588,239570.0,10887,8.2
2010 - AZ,6413158,666968.0,16976,10.4
2010 - CA,37338198,4555260.0,95877,12.2
2010 - CO,5047692,439149.0,10816,8.7
2010 - CT,3575498,325370.0,5802,9.1
2010 - DC,604912,56862.0,3382,9.4
2010 - DE,899792,75583.0,3392,8.4
2010 - FL,18838613,2072247.0,69523,11.0
2010 - GA,9712157,1029489.0,24034,10.6
2010 - HI,1363359,94072.0,2136,6.9
2010 - IA,3050202,183012.0,6258,6.0
2010 - ID,1571102,141399.0,2696,9.0
2010 - IL,12841980,1335566.0,32976,10.4
2010 - IN,6490622,675025.0,12396,10.4
